citizenship;gender;reporting_country;year;immigrant_count;obs_flag
Andorra;Males;Austria;2018;0;
Andorra;Males;Austria;2019;0;
Andorra;Males;Austria;2020;0;
Andorra;Males;Austria;2023;0;
Andorra;Males;Austria;2024;0;
Andorra;Males;Belgium;2011;0;
Andorra;Males;Belgium;2012;0;
Andorra;Males;Belgium;2013;0;
Andorra;Males;Belgium;2015;0;
Andorra;Males;Belgium;2016;0;
Andorra;Males;Belgium;2018;0;
Andorra;Males;Belgium;2019;0;
Andorra;Males;Belgium;2023;0;
Andorra;Males;Bulgaria;2012;0;bp
Andorra;Males;Bulgaria;2013;;p
Andorra;Males;Bulgaria;2014;0;p
Andorra;Males;Bulgaria;2016;0;
Andorra;Males;Bulgaria;2018;0;p
Andorra;Males;Bulgaria;2019;0;p
Andorra;Males;Bulgaria;2020;0;
Andorra;Males;Bulgaria;2023;0;
Andorra;Males;Bulgaria;2024;0;
Andorra;Males;Czechia;2020;0;
Andorra;Males;Czechia;2023;0;
Andorra;Males;Germany;2014;0;
Andorra;Males;Germany;2015;0;
Andorra;Males;Germany;2016;0;
Andorra;Males;Germany;2017;0;
Andorra;Males;Germany;2018;0;
Andorra;Males;Germany;2019;0;
Andorra;Males;Germany;2020;0;
Andorra;Males;Germany;2021;0;
Andorra;Males;Germany;2022;0;
Andorra;Males;Germany;2023;0;
Andorra;Males;Germany;2024;0;
Andorra;Males;Denmark;2020;0;
Andorra;Males;Denmark;2021;0;
Andorra;Males;Estonia;2023;0;
Andorra;Males;Spain;1998;0;
Andorra;Males;Spain;2000;0;
Andorra;Males;Spain;2001;0;
Andorra;Males;Spain;2021;0;
Andorra;Males;Spain;2022;0;
Andorra;Males;Spain;2023;0;
Andorra;Males;Spain;2024;0;
Andorra;Males;Finland;1998;0;
Andorra;Males;Finland;2000;0;
Andorra;Males;Finland;2001;0;
Andorra;Males;Finland;2008;0;
Andorra;Males;Finland;2014;0;
Andorra;Males;Finland;2015;0;
Andorra;Males;Finland;2016;0;
Andorra;Males;Finland;2018;0;
Andorra;Males;Finland;2019;0;
Andorra;Males;Finland;2020;0;
Andorra;Males;Finland;2023;0;
Andorra;Males;Finland;2024;0;
Andorra;Males;Croatia;1998;0;
Andorra;Males;Croatia;2001;0;
Andorra;Males;Croatia;2008;0;b
Andorra;Males;Croatia;2009;0;
Andorra;Males;Croatia;2010;0;
Andorra;Males;Croatia;2011;0;
Andorra;Males;Croatia;2012;0;
Andorra;Males;Croatia;2013;0;
Andorra;Males;Croatia;2014;0;
Andorra;Males;Croatia;2015;0;
Andorra;Males;Croatia;2016;0;
Andorra;Males;Croatia;2018;0;
Andorra;Males;Croatia;2019;0;
Andorra;Males;Croatia;2020;0;
Andorra;Males;Croatia;2023;0;
Andorra;Males;Croatia;2024;0;
Andorra;Males;Hungary;2020;0;
Andorra;Males;Hungary;2021;0;
Andorra;Males;Hungary;2023;0;
Andorra;Males;Hungary;2024;0;
Andorra;Males;Ireland;2007;0;
Andorra;Males;Ireland;2008;0;
Andorra;Males;Ireland;2009;0;
Andorra;Males;Ireland;2010;0;
Andorra;Males;Italy;2014;0;
Andorra;Males;Italy;2015;0;
Andorra;Males;Italy;2016;0;
Andorra;Males;Italy;2018;0;
Andorra;Males;Italy;2019;0;
Andorra;Males;Italy;2020;0;
Andorra;Males;Italy;2022;0;
Andorra;Males;Italy;2023;0;
Andorra;Males;Italy;2024;0;
Andorra;Males;Lithuania;1998;0;
Andorra;Males;Lithuania;2000;0;
Andorra;Males;Lithuania;2001;0;
Andorra;Males;Lithuania;2008;0;
Andorra;Males;Lithuania;2009;0;
Andorra;Males;Lithuania;2010;0;
Andorra;Males;Lithuania;2011;0;
Andorra;Males;Lithuania;2021;0;
Andorra;Males;Lithuania;2023;0;
Andorra;Males;Lithuania;2024;0;
Andorra;Males;Luxembourg;1998;0;
Andorra;Males;Luxembourg;2000;0;
Andorra;Males;Luxembourg;2001;0;
