year;country_code;country;sector_nace_r2;employment_thousand_persons;employment_persons;data_flag;sex;age;source_id;dataset_id;source;unit
2013;PT;Portugal;Administrative and support service activities;143.0;143000.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Agriculture, forestry and fishing;453.6;453600.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Arts, entertainment and recreation;51.1;51100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Construction;286.6;286600.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Education;354.8;354800.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Electricity, gas, steam and air conditioning supply;15.6;15600.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Financial and insurance activities;87.3;87300.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Human health and social work activities;367.4;367400.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Information and communication;89.8;89800.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Manufacturing;704.1;704100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Mining and quarrying;13.1;13100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Other service activities;103.5;103500.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Professional, scientific and technical activities;166.1;166100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;"Public administration and defence; compulsory social security";292.1;292100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Real estate activities;27.5;27500.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
2013;PT;Portugal;Transportation and storage;178.1;178100.0;;Total;15 years or over;F012;D079;Eurostat Labour Force Survey (lfsa_egan2);thousand_persons
