year;nationality;gender;permits_granted;resident_count;source_id;source
2015;República Checa;Feminino;44;184;F001 / F002;SEF + AIMA — combinado
2015;República Checa;Masculino;29;92;F001 / F002;SEF + AIMA — combinado
2015;República Democrática do Congo;Feminino;6;107;F001 / F002;SEF + AIMA — combinado
2015;República Democrática do Congo;Masculino;3;128;F001 / F002;SEF + AIMA — combinado
2015;República Dominicana;Feminino;10;96;F001 / F002;SEF + AIMA — combinado
2015;República Dominicana;Masculino;4;36;F001 / F002;SEF + AIMA — combinado
2015;Reunião;Feminino;0;0;F001 / F002;SEF + AIMA — combinado
2015;Reunião;Masculino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Roménia;Feminino;1004;13809;F001 / F002;SEF + AIMA — combinado
2015;Roménia;Masculino;1565;16714;F001 / F002;SEF + AIMA — combinado
2015;Ruanda;Feminino;8;14;F001 / F002;SEF + AIMA — combinado
2015;Ruanda;Masculino;0;6;F001 / F002;SEF + AIMA — combinado
2015;Rússia;Feminino;200;2746;F001 / F002;SEF + AIMA — combinado
2015;Rússia;Masculino;93;1517;F001 / F002;SEF + AIMA — combinado
2015;Samoa;Feminino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Samoa;Masculino;0;0;F001 / F002;SEF + AIMA — combinado
2015;Santa Lúcia;Feminino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Santa Lúcia;Masculino;0;0;F001 / F002;SEF + AIMA — combinado
2015;Senegal;Feminino;45;489;F001 / F002;SEF + AIMA — combinado
2015;Senegal;Masculino;60;1026;F001 / F002;SEF + AIMA — combinado
2015;Serra Leoa;Feminino;3;24;F001 / F002;SEF + AIMA — combinado
2015;Serra Leoa;Masculino;2;39;F001 / F002;SEF + AIMA — combinado
2015;Seychelles;Feminino;0;2;F001 / F002;SEF + AIMA — combinado
2015;Seychelles;Masculino;0;4;F001 / F002;SEF + AIMA — combinado
2015;Singapura;Feminino;1;20;F001 / F002;SEF + AIMA — combinado
2015;Singapura;Masculino;3;8;F001 / F002;SEF + AIMA — combinado
2015;Somália;Feminino;4;23;F001 / F002;SEF + AIMA — combinado
2015;Somália;Masculino;3;31;F001 / F002;SEF + AIMA — combinado
2015;Sri Lanka;Feminino;3;18;F001 / F002;SEF + AIMA — combinado
2015;Sri Lanka;Masculino;6;42;F001 / F002;SEF + AIMA — combinado
2015;Sudão;Feminino;5;8;F001 / F002;SEF + AIMA — combinado
2015;Sudão;Masculino;3;30;F001 / F002;SEF + AIMA — combinado
2015;Suécia;Feminino;255;853;F001 / F002;SEF + AIMA — combinado
2015;Suécia;Masculino;388;1136;F001 / F002;SEF + AIMA — combinado
2015;Suíça;Feminino;96;585;F001 / F002;SEF + AIMA — combinado
2015;Suíça;Masculino;119;678;F001 / F002;SEF + AIMA — combinado
2015;São Cristóvão e Nevis;Feminino;5;9;F001 / F002;SEF + AIMA — combinado
2015;São Cristóvão e Nevis;Masculino;1;6;F001 / F002;SEF + AIMA — combinado
2015;São Tomé e Príncipe;Feminino;278;5264;F001 / F002;SEF + AIMA — combinado
2015;São Tomé e Príncipe;Masculino;227;4282;F001 / F002;SEF + AIMA — combinado
2015;São Vicente e Granadinas;Feminino;0;0;F001 / F002;SEF + AIMA — combinado
2015;São Vicente e Granadinas;Masculino;0;1;F001 / F002;SEF + AIMA — combinado
2015;Sérvia;Feminino;11;118;F001 / F002;SEF + AIMA — combinado
2015;Sérvia;Masculino;8;74;F001 / F002;SEF + AIMA — combinado
2015;Síria;Feminino;21;66;F001 / F002;SEF + AIMA — combinado
2015;Síria;Masculino;36;98;F001 / F002;SEF + AIMA — combinado
2015;Tailândia;Feminino;125;405;F001 / F002;SEF + AIMA — combinado
2015;Tailândia;Masculino;271;1023;F001 / F002;SEF + AIMA — combinado
2015;Taiwan;Feminino;2;19;F001 / F002;SEF + AIMA — combinado
2015;Taiwan;Masculino;3;17;F001 / F002;SEF + AIMA — combinado
2015;Tajiquistão;Feminino;3;7;F001 / F002;SEF + AIMA — combinado
2015;Tajiquistão;Masculino;2;8;F001 / F002;SEF + AIMA — combinado
2015;Tanzânia;Feminino;0;14;F001 / F002;SEF + AIMA — combinado
2015;Tanzânia;Masculino;3;18;F001 / F002;SEF + AIMA — combinado
2015;Timor-Leste;Feminino;17;58;F001 / F002;SEF + AIMA — combinado
2015;Timor-Leste;Masculino;27;111;F001 / F002;SEF + AIMA — combinado
2015;Togo;Feminino;4;19;F001 / F002;SEF + AIMA — combinado
2015;Togo;Masculino;1;16;F001 / F002;SEF + AIMA — combinado
2015;Tonga;Feminino;1;1;F001 / F002;SEF + AIMA — combinado
2015;Tonga;Masculino;0;0;F001 / F002;SEF + AIMA — combinado
2015;Trindade e Tobago;Feminino;1;4;F001 / F002;SEF + AIMA — combinado
2015;Trindade e Tobago;Masculino;0;4;F001 / F002;SEF + AIMA — combinado
2015;Tunísia;Feminino;9;64;F001 / F002;SEF + AIMA — combinado
2015;Tunísia;Masculino;14;112;F001 / F002;SEF + AIMA — combinado
2015;Turquemenistão;Feminino;2;5;F001 / F002;SEF + AIMA — combinado
2015;Turquemenistão;Masculino;3;7;F001 / F002;SEF + AIMA — combinado
2015;Turquia;Feminino;20;291;F001 / F002;SEF + AIMA — combinado
2015;Turquia;Masculino;18;305;F001 / F002;SEF + AIMA — combinado
2015;Ucrânia;Feminino;632;18343;F001 / F002;SEF + AIMA — combinado
2015;Ucrânia;Masculino;466;17436;F001 / F002;SEF + AIMA — combinado
2015;Uganda;Feminino;0;6;F001 / F002;SEF + AIMA — combinado
2015;Uganda;Masculino;1;12;F001 / F002;SEF + AIMA — combinado
2015;Uruguai;Feminino;9;61;F001 / F002;SEF + AIMA — combinado
2015;Uruguai;Masculino;10;61;F001 / F002;SEF + AIMA — combinado
2015;Uzbequistão;Feminino;28;425;F001 / F002;SEF + AIMA — combinado
2015;Uzbequistão;Masculino;20;567;F001 / F002;SEF + AIMA — combinado
2015;Venezuela;Feminino;156;1156;F001 / F002;SEF + AIMA — combinado
2015;Venezuela;Masculino;85;854;F001 / F002;SEF + AIMA — combinado
2015;Vietname;Feminino;8;40;F001 / F002;SEF + AIMA — combinado
2015;Vietname;Masculino;7;37;F001 / F002;SEF + AIMA — combinado
2015;Zimbabwe;Feminino;5;23;F001 / F002;SEF + AIMA — combinado
2015;Zimbabwe;Masculino;2;15;F001 / F002;SEF + AIMA — combinado
2015;Zâmbia;Feminino;0;6;F001 / F002;SEF + AIMA — combinado
2015;Zâmbia;Masculino;0;1;F001 / F002;SEF + AIMA — combinado
