year;nationality;gender;permits_granted;resident_count
2016;República Democrática do Congo;Feminino;9;102
2016;República Democrática do Congo;Masculino;15;123
2016;República Dominicana;Feminino;9;93
2016;República Dominicana;Masculino;7;43
2016;Roménia;Feminino;999;13838
2016;Roménia;Masculino;1480;16591
2016;Ruanda;Feminino;8;19
2016;Ruanda;Masculino;1;7
2016;Rússia;Feminino;199;2789
2016;Rússia;Masculino;115;1494
2016;Samoa;Feminino;0;1
2016;Samoa;Masculino;0;0
2016;Santa Lúcia;Feminino;0;1
2016;Santa Lúcia;Masculino;0;0
2016;Senegal;Feminino;59;479
2016;Senegal;Masculino;54;877
2016;Serra Leoa;Feminino;8;24
2016;Serra Leoa;Masculino;7;36
2016;Seychelles;Feminino;0;2
2016;Seychelles;Masculino;1;5
2016;Singapura;Feminino;4;24
2016;Singapura;Masculino;6;14
2016;Somália;Feminino;1;22
2016;Somália;Masculino;1;29
2016;Sri Lanka;Feminino;10;26
2016;Sri Lanka;Masculino;9;51
2016;Sudão;Feminino;3;13
2016;Sudão;Masculino;6;37
2016;Suécia;Feminino;326;1136
2016;Suécia;Masculino;423;1497
2016;Suíça;Feminino;157;734
2016;Suíça;Masculino;157;823
2016;São Cristóvão e Nevis;Feminino;3;5
2016;São Cristóvão e Nevis;Masculino;3;12
2016;São Tomé e Príncipe;Feminino;311;4965
2016;São Tomé e Príncipe;Masculino;237;4003
2016;Sérvia;Feminino;13;114
2016;Sérvia;Masculino;13;74
2016;Síria;Feminino;187;211
2016;Síria;Masculino;240;259
2016;Tailândia;Feminino;110;453
2016;Tailândia;Masculino;187;1022
2016;Taiwan;Feminino;7;22
2016;Taiwan;Masculino;2;17
2016;Tajiquistão;Feminino;2;7
2016;Tajiquistão;Masculino;3;9
2016;Tanzânia;Feminino;0;11
2016;Tanzânia;Masculino;1;16
2016;Timor-Leste;Feminino;19;64
2016;Timor-Leste;Masculino;40;124
2016;Togo;Feminino;0;18
2016;Togo;Masculino;6;19
2016;Tonga;Feminino;0;1
2016;Tonga;Masculino;0;0
2016;Trindade e Tobago;Feminino;2;4
2016;Trindade e Tobago;Masculino;0;3
2016;Tunísia;Feminino;9;82
2016;Tunísia;Masculino;13;121
2016;Turquemenistão;Feminino;0;3
2016;Turquemenistão;Masculino;0;2
2016;Turquia;Feminino;42;349
2016;Turquia;Masculino;29;347
2016;Ucrânia;Feminino;672;17790
2016;Ucrânia;Masculino;568;16700
2016;Uganda;Feminino;1;11
2016;Uganda;Masculino;4;14
2016;Uruguai;Feminino;9;64
2016;Uruguai;Masculino;11;63
2016;Uzbequistão;Feminino;33;430
2016;Uzbequistão;Masculino;25;538
2016;Vanuatu;Feminino;0;0
2016;Vanuatu;Masculino;1;1
2016;Venezuela;Feminino;274;1386
2016;Venezuela;Masculino;179;970
2016;Vietname;Feminino;36;71
2016;Vietname;Masculino;32;53
2016;Zimbabwe;Feminino;3;21
2016;Zimbabwe;Masculino;4;16
2016;Zâmbia;Feminino;2;5
2016;Zâmbia;Masculino;0;0
2016;África do Sul;Feminino;115;450
2016;África do Sul;Masculino;112;389
2016;Áustria;Feminino;95;363
2016;Áustria;Masculino;101;394
2016;Índia;Feminino;386;2313
2016;Índia;Masculino;638;4931
2017;Afeganistão;Feminino;1;14
2017;Afeganistão;Masculino;13;36
2017;Albânia;Feminino;6;35
2017;Albânia;Masculino;4;24
2017;Alemanha;Feminino;897;5405
2017;Alemanha;Masculino;1016;5755
2017;Andorra;Feminino;0;3
2017;Andorra;Masculino;2;8
2017;Angola;Feminino;1013;9250
2017;Angola;Masculino;818;7604
2017;Apátrida;Feminino;5;12
2017;Apátrida;Masculino;7;19
2017;Argentina;Feminino;25;224
2017;Argentina;Masculino;22;200
2017;Argélia;Feminino;30;150
2017;Argélia;Masculino;18;176
2017;Arménia;Feminino;8;63
2017;Arménia;Masculino;5;39
2017;Arábia Saudita;Feminino;47;52
2017;Arábia Saudita;Masculino;48;63
2017;Austrália;Feminino;27;160
2017;Austrália;Masculino;40;172
