Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Sujeitos Passivos;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por sujeito passivo;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;20;25;30;40;50;60;70;75;80;90;;P80/P20;P90/P10;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;€;€;€;€;€;€;€;€;€;€;€;%;Nº;Nº;;;;;;;;
1309;Município;Paços de Ferreira;40 432;410 809;380 145;10 160;3 701;5 093;5 677;6 247;7 696;8 929;9 393;10 646;11 565;12 772;17 785;3 676;5 083;5 647;6 206;7 635;8 867;9 336;10 248;11 031;12 061;15 834;31,4;2,4;4,3;;;;;;;;
1311;Município;Penafiel;49 943;533 798;487 188;10 688;3 488;5 015;5 636;6 228;7 634;8 981;9 805;11 357;12 420;13 852;19 520;3 480;4 985;5 585;6 163;7 526;8 867;9 502;10 851;11 722;12 878;17 127;33,6;2,6;4,9;;;;;;;;
1813;Município;Resende;6 476;58 803;54 346;9 080;2 236;3 878;4 512;4 822;5 766;7 064;8 550;9 688;10 678;12 050;17 218;2 233;3 865;4 500;4 800;5 734;7 016;8 451;9 425;10 223;11 387;15 534;38,8;2,9;7,0;;;;;;;;
11D;NUTS 3;   Douro;126 111;1 458 100;1 311 024;11 562;3 249;4 962;5 554;6 182;7 589;9 073;10 282;12 261;13 722;15 729;23 241;3 222;4 932;5 508;6 114;7 496;8 943;9 898;11 594;12 748;14 349;19 872;36,3;2,9;6,2;;;;;;;;
1701;Município;Alijó;7 467;71 191;65 832;9 534;2 894;4 562;4 962;5 477;6 557;7 775;9 079;10 497;11 519;12 757;17 845;2 844;4 560;4 962;5 417;6 506;7 688;8 960;10 012;10 910;12 077;15 869;34,3;2,6;5,6;;;;;;;;
1801;Município;Armamar;3 560;35 583;32 752;9 995;3 019;4 760;5 203;5 681;6 833;8 153;9 310;10 601;11 695;12 948;18 335;3 014;4 698;5 141;5 633;6 796;8 034;9 265;10 187;11 089;12 181;16 142;35,0;2,6;5,4;;;;;;;;
0403;Município;Carrazeda de Ansiães;3 562;36 263;33 373;10 180;2 950;4 616;5 172;5 726;6 880;8 105;9 388;11 057;12 250;13 725;20 086;2 922;4 594;5 143;5 700;6 828;8 020;9 310;10 685;11 586;12 760;17 624;35,4;2,8;6,0;;;;;;;;
0404;Município;Freixo de Espada à Cinta;2 288;23 762;21 948;10 385;4 187;5 295;5 862;6 415;7 615;8 900;9 884;11 394;12 087;13 575;18 408;4 158;5 242;5 779;6 393;7 539;8 738;9 553;10 786;11 515;12 551;16 343;30,4;2,4;3,9;;;;;;;;
1805;Município;Lamego;16 841;202 308;180 315;12 013;3 288;4 955;5 505;6 157;7 646;9 197;10 489;12 718;14 363;16 529;25 398;3 280;4 922;5 492;6 101;7 532;9 066;10 063;11 890;13 235;14 853;21 275;37,3;3,0;6,5;;;;;;;;
1704;Município;Mesão Frio;2 529;24 109;22 244;9 533;3 040;4 633;4 971;5 438;6 457;7 753;9 207;10 295;11 261;12 492;17 005;3 035;4 633;4 957;5 397;6 406;7 670;9 134;9 965;10 750;11 734;15 285;33,9;2,5;5,0;;;;;;;;
