Índice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Código territorial;Nível territorial;Designação;Agregados Fiscais;Rendimento bruto declarado;Rendimento bruto deduzido do IRS liquidado ;Rendimento bruto declarado médio por agregado fiscal;Percentis do rendimento bruto declarado;;;;;;;;;;;Percentis do rendimento bruto declarado por agregado fiscal (NUTS III=100);;;;;Percentis do rendimento bruto declarado deduzido do IRS liquidado;;;;;;;;;;;Coeficiente de Gini do rendimento bruto declarado deduzido do IRS liquidado;;Desigualdade na distribuição do rendimento bruto declarado deduzido do IRS liquidado;;Taxa de crescimento anual médio do rendimento bruto declarado deduzido do IRS liquidado por agregado fiscal (2021 - 2023);Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2022);;;Taxa de variação anual dos percentis do rendimento bruto declarado deduzido do IRS liquidado (2023);;;;;;;;;;
;;;;;;;10;20;25;30;40;50;60;70;75;80;90;10;25;50;75;90;10;20;25;30;40;50;60;70;75;80;90;2021;2023;P80/P20;P90/P10;;25;50;75;25;50;75;;;;;;;;
;;;Nº;Milhares €;;€;;;;;;;;;;;;%;;;;;€;€;€;€;€;€;€;€;€;€;€;%;;Nº;Nº;%;;;;;;;;;;;;;;
0119;Município;Vale de Cambra;11 646;235 332;211 769;20 207;6 278;8 984;10 031;10 851;12 588;14 842;17 672;22 202;24 852;27 745;38 994;113;101;99;94;86;6 241;8 911;9 975;10 757;12 059;14 088;16 624;20 774;23 298;25 871;34 217;37,0;36,9;2,9;5,5;6,3;4,8;5,0;3,2;4,5;7,5;9,2;;;;;;;;
1315;Município;Valongo;51 165;1 065 140;949 491;20 818;5 801;9 039;10 155;10 769;12 677;15 173;18 636;23 228;26 039;29 391;41 551;104;103;102;99;91;5 756;8 976;10 080;10 711;12 116;14 353;17 424;21 629;24 026;26 681;35 826;38,5;37,8;3,0;6,2;7,0;6,2;6,6;4,8;5,5;7,4;7,7;;;;;;;;
1316;Município;Vila do Conde;43 767;953 813;837 588;21 793;5 924;8 889;9 997;10 640;12 437;14 964;18 419;23 078;26 051;29 824;43 784;107;101;100;99;96;5 885;8 834;9 923;10 640;11 921;14 196;17 220;21 546;24 023;26 994;37 272;39,8;39,7;3,1;6,3;6,9;6,2;7,3;4,6;5,2;6,5;7,7;;;;;;;;
1317;Município;Vila Nova de Gaia;165 582;3 719 516;3 230 018;22 463;5 602;8 878;10 035;10 754;12 642;15 217;18 800;23 763;26 880;30 902;45 934;101;101;102;102;101;5 554;8 810;9 972;10 676;12 101;14 359;17 502;21 923;24 496;27 597;38 442;40,9;40,5;3,1;6,9;6,1;5,4;6,1;3,9;5,0;6,0;7,2;;;;;;;;
11B;NUTS 3;Alto Tâmega e Barroso;41 545;707 768;641 829;17 036;4 382;6 991;8 067;9 081;10 640;12 048;14 495;18 380;21 095;23 772;34 242;100;100;100;100;100;4 316;6 959;7 980;9 013;10 640;11 679;13 775;17 234;19 705;22 186;30 083;39,8;39,2;3,2;7,0;6,7;6,9;6,4;6,5;5,9;7,0;6,4;;;;;;;;
1702;Município;Boticas;2 419;36 707;34 105;15 174;3 932;6 650;7 617;8 699;10 456;11 353;13 034;16 167;18 155;20 957;29 036;90;94;94;86;85;3 880;6 609;7 536;8 585;10 393;11 153;12 567;15 368;17 305;19 789;26 725;38,4;38,2;3,0;6,9;7,9;7,5;7,7;6,0;5,6;8,1;6,5;;;;;;;;
1703;Município;Chaves;19 048;360 006;321 841;18 900;4 600;7 412;8 687;9 703;11 115;13 079;16 134;20 804;23 343;26 463;38 964;105;108;109;111;114;4 545;7 357;8 613;9 613;10 953;12 492;15 208;19 303;21 760;24 335;33 595;40,7;40,0;3,3;7,4;6,3;6,8;6,8;5,0;5,9;5,8;6,4;;;;;;;;
1706;Município;Montalegre;4 511;69 363;63 320;15 376;4 200;6 576;7 461;8 421;10 178;11 268;13 152;16 255;18 482;21 689;31 286;96;92;94;88;91;4 102;6 535;7 395;8 291;10 013;11 083;12 540;15 254;17 264;20 171;27 492;38,8;38,2;3,1;6,7;7,1;10,1;7,1;5,7;4,6;7,0;5,2;;;;;;;;
1709;Município;Ribeira de Pena;2 841;44 050;40 265;15 505;4 344;6 786;7 797;8 687;10 393;11 350;13 157;16 304;18 612;21 002;27 897;99;97;94;88;81;4 289;6 772;7 740;8 632;10 306;11 171;12 502;15 515;17 422;19 926;26 003;37,1;37,6;2,9;6,1;5,7;-0,2;4,3;8,6;9,0;7,2;4,8;;;;;;;;
1712;Município;Valpaços;6 903;102 784;95 216;14 890;4 063;6 665;7 430;8 359;10 021;11 232;12 920;16 084;18 479;21 498;29 196;93;92;93;88;85;4 049;6 600;7 383;8 273;9 931;11 059;12 433;15 301;17 511;20 224;26 558;38,0;37,4;3,1;6,6;7,6;7,7;7,2;8,0;7,3;7,9;8,8;;;;;;;;
