year;district;employees_count;self_employed_count;employee_contribution_amount;self_employed_contribution_amount;remuneration_amount;employers_count;total_workers;total_contribution_amount;source_id;source
2014;Outro;8101;1088;43813614.29;1631043.37;129771105.67;544;9189;45444657.66;F014;Segurança Social
2014;Portalegre;33351;4789;98135345.99;6384434.34;294506465.38;4324;38140;104519780.33;F014;Segurança Social
2014;Porto;618843;61860;2298034192.4;78144586.8;6854885416.68;70509;680703;2376178779.2;F014;Segurança Social
2014;Região Autónoma da Madeira;74708;9027;258428447.25;7957725.04;772668243.11;8803;83735;266386172.29;F014;Segurança Social
2014;Região Autónoma dos Açores;71710;15968;245198135.05;13663104.81;736194760.56;7825;87678;258861239.86;F014;Segurança Social
2014;Santarém;143015;15772;479874575.91;20932833.41;1429177788.63;16232;158787;500807409.32;F014;Segurança Social
2014;Setúbal;282371;29011;1171612104.11;34720923.24;3481047214.82;24001;311382;1206333027.35;F014;Segurança Social
2014;Viana do Castelo;69068;12547;210921375.4;15080769.82;630228602.51;9554;81615;226002145.22;F014;Segurança Social
2014;Vila Real;45823;10996;131120985.85;12061113.07;396665497.84;7062;56819;143182098.92;F014;Segurança Social
2014;Viseu;101902;16897;309048014.14;19405549.18;925961720.06;13177;118799;328453563.32;F014;Segurança Social
2014;Évora;52133;7494;164738373.27;9504933.19;494119639.47;6908;59627;174243306.46;F014;Segurança Social
2015;Aveiro;262825;27953;951516587.17;32009780.01;2824962005.23;26741;290778;983526367.18;F014;Segurança Social
2015;Beja;48728;6968;147749470.25;8464714.65;441481461.76;5959;55696;156214184.9;F014;Segurança Social
2015;Braga;310256;30871;1000217440.68;33802556.46;2993361447.16;35568;341127;1034019997.14;F014;Segurança Social
2015;Bragança;30170;7941;86893540.21;8029731.79;262791144.72;4989;38111;94923272.0;F014;Segurança Social
2015;Castelo Branco;54419;7767;169667717.94;8827854.39;508970536.96;6773;62186;178495572.33;F014;Segurança Social
2015;Coimbra;132802;17894;487228479.13;19365404.44;1460893392.42;14152;150696;506593883.57;F014;Segurança Social
2015;Faro;171072;22635;525184812.21;26078687.08;1556101522.94;22688;193707;551263499.29;F014;Segurança Social
2015;Guarda;40624;7570;122888710.84;8518752.99;368845553.48;5823;48194;131407463.83;F014;Segurança Social
2015;Leiria;166032;18639;580836596.18;23289336.53;1729698542.64;20870;184671;604125932.71;F014;Segurança Social
2015;Lisboa;837556;89628;4011404185.62;94260946.91;11963048163.37;99493;927184;4105665132.53;F014;Segurança Social
2015;Outro;10548;1468;59793398.03;2415232.45;177025057.63;591;12016;62208630.48;F014;Segurança Social
2015;Portalegre;33900;4702;101223046.19;5465169.67;302994769.32;4397;38602;106688215.86;F014;Segurança Social
2015;Porto;642524;60541;2402280003.93;67217447.53;7163159469.66;72278;703065;2469497451.46;F014;Segurança Social
2015;Região Autónoma da Madeira;75679;8980;263489135.12;7180273.74;781987485.76;8999;84659;270669408.86;F014;Segurança Social
2015;Região Autónoma dos Açores;74989;15673;257988920.39;12333294.07;773625164.28;8017;90662;270322214.46;F014;Segurança Social
2015;Santarém;146469;15286;497082832.5;17979589.7;1478737282.92;16295;161755;515062422.2;F014;Segurança Social
2015;Setúbal;290310;28470;1204534804.7;30104517.96;3573918518.78;24506;318780;1234639322.66;F014;Segurança Social
2015;Viana do Castelo;70743;12307;218480068.17;12983914.35;652369891.47;9655;83050;231463982.52;F014;Segurança Social
2015;Vila Real;46940;10619;137215736.06;10030624.6;413947491.96;7219;57559;147246360.66;F014;Segurança Social
2015;Viseu;104400;16240;321197248.81;16611468.63;961503804.42;13362;120640;337808717.44;F014;Segurança Social
2015;Évora;53292;7298;170654466.56;8049758.37;510110749.04;7009;60590;178704224.93;F014;Segurança Social
2016;Aveiro;269825;27069;1002418007.96;31497792.29;2977198033.08;26802;296894;1033915800.25;F014;Segurança Social
2016;Beja;49924;6692;154039834.36;8166560.69;460718836.46;6098;56616;162206395.05;F014;Segurança Social
2016;Braga;321036;30214;1067350881.68;33894894.34;3200053180.93;35692;351250;1101245776.02;F014;Segurança Social
2016;Bragança;30498;7320;91304796.71;7751635.74;275911425.72;4953;37818;99056432.45;F014;Segurança Social
2016;Castelo Branco;55155;7236;176319782.15;8641778.31;528204171.74;6763;62391;184961560.46;F014;Segurança Social
2016;Coimbra;135636;17329;508332508.22;18998083.84;1523653928.06;14155;152965;527330592.06;F014;Segurança Social
2016;Faro;178137;22639;565287788.6;26995590.24;1673582333.45;23116;200776;592283378.84;F014;Segurança Social
2016;Guarda;41237;7163;129003950.88;8227410.85;387598942.65;5714;48400;137231361.73;F014;Segurança Social
2016;Leiria;170016;18056;612381675.39;22898309.0;1824341625.74;21028;188072;635279984.39;F014;Segurança Social
2016;Lisboa;866685;91314;4188921514.03;96050608.61;12481186810.12;101374;957999;4284972122.64;F014;Segurança Social
2016;Outro;12429;1584;66289690.14;2888576.61;195344038.18;638;14013;69178266.75;F014;Segurança Social
2016;Portalegre;34250;4531;105696358.97;5320073.48;316473161.05;4402;38781;111016432.45;F014;Segurança Social
2016;Porto;663007;59507;2527429873.46;67025978.87;7539313721.49;72773;722514;2594455852.33;F014;Segurança Social
2016;Região Autónoma da Madeira;77978;8743;275948541.84;7269126.66;817552481.8;9059;86721;283217668.5;F014;Segurança Social
2016;Região Autónoma dos Açores;77757;15285;270878265.18;12178471.37;809980672.99;8151;93042;283056736.55;F014;Segurança Social
2016;Santarém;149153;14904;515771092.3;17591540.87;1535239092.66;16335;164057;533362633.17;F014;Segurança Social
2016;Setúbal;298601;28533;1251536676.64;30290625.5;3712015447.0;24752;327134;1281827302.14;F014;Segurança Social
2016;Viana do Castelo;72964;11800;231090227.94;12833538.79;689578654.89;9706;84764;243923766.73;F014;Segurança Social
2016;Vila Real;47536;9910;143207388.64;9951215.44;431768868.16;7214;57446;153158604.08;F014;Segurança Social
2016;Viseu;106349;15394;337039408.28;16161501.72;1009617524.97;13306;121743;353200910.0;F014;Segurança Social
2016;Évora;53928;7088;177972895.23;7887766.23;531846777.33;6973;61016;185860661.46;F014;Segurança Social
2017;Aveiro;279522;27381;1073396603.35;32342132.88;3180799662.13;27069;306903;1105738736.23;F014;Segurança Social
2017;Beja;52832;6737;169184932.74;8311862.63;503801555.96;6205;59569;177496795.37;F014;Segurança Social
2017;Braga;334304;30807;1159959211.18;35240372.77;3462144032.98;36393;365111;1195199583.95;F014;Segurança Social
2017;Bragança;31369;7335;98079444.75;7500914.59;294854748.29;4950;38704;105580359.34;F014;Segurança Social
2017;Castelo Branco;56631;7264;187587243.24;8624980.93;559669658.41;6771;63895;196212224.17;F014;Segurança Social
2017;Coimbra;139982;17542;539232695.6;19485884.97;1612541262.97;14319;157524;558718580.57;F014;Segurança Social
2017;Faro;189666;23746;620212417.13;29124003.15;1831589231.68;23867;213412;649336420.28;F014;Segurança Social
2017;Guarda;42390;7091;137300455.95;8077013.92;411353890.01;5732;49481;145377469.87;F014;Segurança Social
2017;Leiria;176424;18245;655079227.16;23548740.89;1946733171.27;21308;194669;678627968.05;F014;Segurança Social
2017;Lisboa;905942;95120;4437188070.15;101208824.51;13186795009.65;104501;1001062;4538396894.66;F014;Segurança Social
2017;Outro;14772;1649;71656215.17;3124446.13;210572116.69;720;16421;74780661.3;F014;Segurança Social
2017;Portalegre;35179;4532;112260182.88;5365600.65;334794560.32;4369;39711;117625783.53;F014;Segurança Social
2017;Porto;689434;60873;2705700739.52;69322874.64;8049335828.5;74501;750307;2775023614.16;F014;Segurança Social
2017;Região Autónoma da Madeira;81629;9065;295962509.52;7637808.96;874609423.08;9298;90694;303600318.48;F014;Segurança Social
2017;Região Autónoma dos Açores;80352;15307;287618901.42;12567205.22;856017666.4;8291;95659;300186106.64;F014;Segurança Social
2017;Santarém;153091;14951;545720138.87;18000017.1;1620823588.76;16332;168042;563720155.97;F014;Segurança Social
2017;Setúbal;313453;29508;1336898857.63;31594183.35;3955685308.7;25437;342961;1368493040.98;F014;Segurança Social
2017;Viana do Castelo;76288;11935;251597973.65;13024216.82;747541406.33;9788;88223;264622190.47;F014;Segurança Social
2017;Vila Real;49297;9995;154556365.67;9933230.16;464035983.94;7217;59292;164489595.83;F014;Segurança Social
2017;Viseu;110309;15320;360955580.64;16282509.31;1079585498.0;13426;125629;377238089.95;F014;Segurança Social
2017;Évora;55402;7012;190208112.51;7975784.82;566176482.62;7000;62414;198183897.33;F014;Segurança Social
2018;Aveiro;290226;26092;1151574397.94;32619431.84;3402954994.13;27379;316318;1184193829.78;F014;Segurança Social
2018;Beja;57463;6395;186008367.55;8459872.51;552108885.62;6270;63858;194468240.06;F014;Segurança Social
2018;Braga;347058;29458;1258230773.36;36305532.41;3732573723.68;37039;376516;1294536305.77;F014;Segurança Social
2018;Bragança;32440;6881;104501220.62;7624227.89;312650267.08;4948;39321;112125448.51;F014;Segurança Social
2018;Castelo Branco;58314;6779;200891757.58;8642425.22;596648924.36;6742;65093;209534182.8;F014;Segurança Social
2018;Coimbra;144936;16668;576308729.8;19598187.87;1722081544.04;14425;161604;595906917.67;F014;Segurança Social
2018;Faro;202678;22856;685963643.37;30704630.45;2019723586.98;25005;225534;716668273.82;F014;Segurança Social
2018;Guarda;43170;6581;145386646.49;8017920.4;434658324.97;5691;49751;153404566.89;F014;Segurança Social
2018;Leiria;182219;17472;702515732.5;23649379.41;2080520440.24;21541;199691;726165111.91;F014;Segurança Social
2018;Lisboa;955601;91478;4776682520.33;104185753.23;14144233148.43;109194;1047079;4880868273.56;F014;Segurança Social
2018;Outro;16977;1755;76836100.5;3524371.93;225603010.18;820;18732;80360472.43;F014;Segurança Social
2018;Portalegre;35897;4267;119457163.8;5388618.84;354960328.46;4395;40164;124845782.64;F014;Segurança Social
2018;Porto;717692;58065;2920500603.49;70485591.45;8652761339.64;76380;775757;2990986194.94;F014;Segurança Social
2018;Região Autónoma da Madeira;84808;8610;320930253.23;7883188.65;947083641.84;9605;93418;328813441.88;F014;Segurança Social
2018;Região Autónoma dos Açores;83161;14744;307983723.76;12799496.58;914417223.13;8418;97905;320783220.34;F014;Segurança Social
2018;Santarém;157536;14247;581848850.39;18141890.59;1722063916.68;16364;171783;599990740.98;F014;Segurança Social
2018;Setúbal;330763;28034;1457068344.47;32391699.63;4297709944.44;26718;358797;1489460044.1;F014;Segurança Social
2018;Viana do Castelo;79070;11371;271388069.36;13295289.61;802978661.9;9785;90441;284683358.97;F014;Segurança Social
2018;Vila Real;51069;9418;167445908.78;10111543.39;499952511.14;7373;60487;177557452.17;F014;Segurança Social
2018;Viseu;113984;14448;388262074.69;16274200.17;1160463262.12;13467;128432;404536274.86;F014;Segurança Social
